County,id2,Population,Deaths,rate,high_rate,low_rate,post_rate_mm,post_low,post_high,post_rate_hyp,post_low_hyp,post_high_hyp,post_rate_hypypst,post_low_hypst,post_high_hypst,post_rate_hyp_pty,post_low_hyp_pty,post_high_hyp_pty,log_rate
"Virginia Beach city, Virginia",51810,452602,230.0,5.081727433816024e-05,0,0,5.0686458940512156e-05,4.42280541619062e-05,5.730033940561388e-05,5.07354852005676e-05,4.430567131416496e-05,5.746014566536376e-05,5.078761373978836e-05,4.4280721216819965e-05,5.754474694078547e-05,5.078761373978836e-05,4.4280721216819965e-05,5.754474694078547e-05,-9.887274215155609
"Volusia County, Florida",12127,529364,432.0,8.16073627976213e-05,1,0,8.135273959363601e-05,7.36611452618741e-05,8.907412477927562e-05,8.150690549931481e-05,7.382516911056457e-05,8.907326157491097e-05,8.145533131918354e-05,7.404718949348917e-05,8.937982389864774e-05,8.145533131918354e-05,7.404718949348917e-05,8.937982389864774e-05,-9.41359106970172
"Wabash County, Illinois",17185,11492,0.0,0.0,0,1,3.4483996402276014e-06,8.005320298294816e-15,1.3597872735616179e-05,2.7074110681808314e-06,3.541460396059755e-17,1.2206440793524363e-05,2.338225454529406e-06,3.479046581979575e-18,1.062763205779081e-05,2.338225454529406e-06,3.479046581979575e-18,1.062763205779081e-05,-16.977315754707732
"Wabash County, Indiana",18169,31762,0.0,0.0,0,1,1.4226202755606415e-06,7.116659487152581e-16,5.52585494381754e-06,1.0159738886891401e-06,1.2173545900750985e-16,4.4389551850124376e-06,9.306806325436978e-07,4.681619732820745e-19,4.147397065504407e-06,9.306806325436978e-07,4.681619732820745e-19,4.147397065504407e-06,-16.977315754707732
"Wabasha County, Minnesota",27157,21273,0.0,0.0,0,1,2.0496422293406174e-06,1.8157799063316662e-14,8.110975849015122e-06,1.5402545175031937e-06,9.327341527545004e-16,6.584117433246428e-06,1.3442116050460193e-06,1.3462455841306878e-18,6.036018260713403e-06,1.3442116050460193e-06,1.3462455841306878e-18,6.036018260713403e-06,-16.977315754707732
"Wabaunsee County, Kansas",20197,6891,0.0,0.0,0,1,5.3125720580243995e-06,1.0201788274329856e-15,2.0858992192855846e-05,4.100354174373503e-06,1.1052769394960205e-17,1.7845245451045237e-05,3.701438805379363e-06,5.028893030994522e-17,1.6933057612878503e-05,3.701438805379363e-06,5.028893030994522e-17,1.6933057612878503e-05,-16.977315754707732
"Wadena County, Minnesota",27159,13761,0.0,0.0,0,1,3.0258520009716087e-06,1.7775256436405683e-16,1.1847083780167054e-05,2.3490335587926113e-06,7.444075244479065e-16,1.0155123897486793e-05,2.008846569028196e-06,8.979222192811664e-19,9.00667569480795e-06,2.008846569028196e-06,8.979222192811664e-19,9.00667569480795e-06,-16.977315754707732
"Wagoner County, Oklahoma",40145,77679,28.0,3.604577813823556e-05,0,0,3.5665733513097706e-05,2.3119501660842373e-05,4.901244320940004e-05,3.5783137265732695e-05,2.3153227635995408e-05,4.895546202942213e-05,3.5864486820916404e-05,2.322815497189677e-05,4.868350823035561e-05,3.5864486820916404e-05,2.322815497189677e-05,4.868350823035561e-05,-10.230720812374718
"Wahkiakum County, Washington",53069,4139,0.0,0.0,0,1,7.539877186807808e-06,3.0285243527922747e-13,2.9361374272750493e-05,6.213172957430989e-06,4.902114204959768e-17,2.6742937093977847e-05,5.369833238686151e-06,1.1527538617299368e-16,2.4186112336295392e-05,5.369833238686151e-06,1.1527538617299368e-16,2.4186112336295392e-05,-16.977315754707732
"Wake County, North Carolina",37183,1046791,412.0,3.935838195016961e-05,0,0,3.930864505437275e-05,3.5711456687612204e-05,4.3136565662788645e-05,3.933803881416862e-05,3.562212303023256e-05,4.306148314168622e-05,3.9341731971507124e-05,3.5692316592849365e-05,4.3422786349890346e-05,3.9341731971507124e-05,3.5692316592849365e-05,4.3422786349890346e-05,-10.142801595614813
"Wakulla County, Florida",12129,31893,0.0,0.0,0,1,1.4045043018316643e-06,1.7049379090748585e-13,5.459310068420468e-06,1.043675376529066e-06,2.4136095294422926e-17,4.409135706472893e-06,9.200074207932882e-07,5.7367106159023735e-19,4.222073291879724e-06,9.200074207932882e-07,5.7367106159023735e-19,4.222073291879724e-06,-16.977315754707732
