id2,County,Population,log_pop
16015,"Boise County, Idaho",7124,8.871224644409553
16017,"Bonner County, Idaho",42536,10.658106055184174
16019,"Bonneville County, Idaho",112232,11.628323436398608
16021,"Boundary County, Idaho",11681,9.365718869155696
16023,"Butte County, Idaho",2501,7.824445930877619
16025,"Camas County, Idaho",1072,6.977281341630747
16027,"Canyon County, Idaho",211698,12.262916009747201
16029,"Caribou County, Idaho",6887,8.837390855544697
16031,"Cassia County, Idaho",23504,10.064925898413659
16033,"Clark County, Idaho",860,6.756932389247553
16035,"Clearwater County, Idaho",8497,9.047468439003541
16037,"Custer County, Idaho",4096,8.317766166719343
16039,"Elmore County, Idaho",26018,10.166543885161504
16041,"Franklin County, Idaho",13406,9.503457646917903
16043,"Fremont County, Idaho",12943,9.468310380442437
16045,"Gem County, Idaho",17184,9.751733997308591
16047,"Gooding County, Idaho",15185,9.62806337747985
16049,"Idaho County, Idaho",16156,9.690046776683303
16051,"Jefferson County, Idaho",27839,10.234193194263003
16053,"Jerome County, Idaho",22994,10.042988591313685
16055,"Kootenai County, Idaho",154311,11.94672532550566
16057,"Latah County, Idaho",39196,10.576329979755709
16059,"Lemhi County, Idaho",7723,8.951958168569265
16061,"Lewis County, Idaho",3853,8.256607344626158
16063,"Lincoln County, Idaho",5271,8.569975376855206
16065,"Madison County, Idaho",39048,10.572546937566983
16067,"Minidoka County, Idaho",20616,9.933822752332201
16069,"Nez Perce County, Idaho",40369,10.605817442670727
16071,"Oneida County, Idaho",4343,8.376320632534823
16073,"Owyhee County, Idaho",11389,9.340403256274351
16075,"Payette County, Idaho",23026,10.044379291233609
16077,"Power County, Idaho",7654,8.942983665985647
16079,"Shoshone County, Idaho",12452,9.4296365315615
16081,"Teton County, Idaho",10960,9.302007560502007
16083,"Twin Falls County, Idaho",83514,11.332769561455455
16085,"Valley County, Idaho",10496,9.25874951118387
16087,"Washington County, Idaho",10172,9.227394126542011
17001,"Adams County, Illinois",66578,11.106129471627069
17003,"Alexander County, Illinois",6478,8.776167099731275
17005,"Bond County, Illinois",16824,9.730561717382535
17007,"Boone County, Illinois",53503,10.887493006078323
17009,"Brown County, Illinois",6762,8.819073983267831
17011,"Bureau County, Illinois",33359,10.415082880004208
17013,"Calhoun County, Illinois",4894,8.495765244002618
17015,"Carroll County, Illinois",14539,9.584589972931425
17017,"Cass County, Illinois",12676,9.447465720810811
17019,"Champaign County, Illinois",208419,12.247305755530878
17021,"Christian County, Illinois",33309,10.413582909722376
17023,"Clark County, Illinois",15938,9.676461473957694
17025,"Clay County, Illinois",13300,9.495519314209846
17027,"Clinton County, Illinois",37729,10.538184308498979
17029,"Coles County, Illinois",52343,10.865573491980717
17031,"Cook County, Illinois",5203499,15.464841841881691
17033,"Crawford County, Illinois",19308,9.868274796780383
17035,"Cumberland County, Illinois",10858,9.292657414465397
17037,"DeKalb County, Illinois",104528,11.557210257080532
17039,"De Witt County, Illinois",16226,9.69437017295501
17041,"Douglas County, Illinois",19630,9.884814287270506
17043,"DuPage County, Illinois",929368,13.74226006422468
17045,"Edgar County, Illinois",17566,9.773720494477063
17047,"Edwards County, Illinois",6523,8.783089671796096
17049,"Effingham County, Illinois",34386,10.445404783779793
17051,"Fayette County, Illinois",21789,9.989160534274278
17053,"Ford County, Illinois",13575,9.515985144802135
17055,"Franklin County, Illinois",39156,10.575308946381321
17057,"Fulton County, Illinois",35536,10.478301546134208
17059,"Gallatin County, Illinois",5212,8.558718938244736
17061,"Greene County, Illinois",13093,9.479833015227753
17063,"Grundy County, Illinois",50437,10.828480311704183
17065,"Hamilton County, Illinois",8061,8.9947928972836
17067,"Hancock County, Illinois",18508,9.825958350026891
17069,"Hardin County, Illinois",4024,8.300031711779575
17071,"Henderson County, Illinois",6869,8.834773814213882
17073,"Henry County, Illinois",49280,10.805273598207402
17075,"Iroquois County, Illinois",28334,10.251817775939296
17077,"Jackson County, Illinois",58870,10.983086902022308
17079,"Jasper County, Illinois",9536,9.16282938930513
17081,"Jefferson County, Illinois",38460,10.55737401914277
17083,"Jersey County, Illinois",22025,9.999933450804381
17085,"Jo Daviess County, Illinois",21770,9.988288154228593
17087,"Johnson County, Illinois",12902,9.465137617092187
17089,"Kane County, Illinois",531715,13.1838629104919
17091,"Kankakee County, Illinois",110008,11.608308369402781
17093,"Kendall County, Illinois",124695,11.733626034633298
17095,"Knox County, Illinois",50938,10.838364485885963
17097,"Lake County, Illinois",703047,13.463179024888031
17099,"LaSalle County, Illinois",110642,11.614055042820233
17101,"Lawrence County, Illinois",16377,9.703633190449867
17103,"Lee County, Illinois",34251,10.441471040344437
17105,"Livingston County, Illinois",36526,10.505779614751987
17107,"Logan County, Illinois",29527,10.293060377975431
17109,"McDonough County, Illinois",30996,10.34161344288384
17111,"McHenry County, Illinois",307004,12.634616055800414
17113,"McLean County, Illinois",172418,12.057677040114225
17115,"Macon County, Illinois",106550,11.576369637526764
17117,"Macoupin County, Illinois",45908,10.734394672800558
17119,"Madison County, Illinois",265759,12.490345162046545
17121,"Marion County, Illinois",38140,10.54901887915441
17123,"Marshall County, Illinois",11939,9.387565631345389
17125,"Mason County, Illinois",13507,9.510963348560765
17127,"Massac County, Illinois",14658,9.592741540485795
17129,"Menard County, Illinois",12516,9.434763104788773
17131,"Mercer County, Illinois",15730,9.663324996052323
17133,"Monroe County, Illinois",34068,10.436113806260972
17135,"Montgomery County, Illinois",28952,10.273394565243578
17137,"Morgan County, Illinois",34277,10.442229854296327
17139,"Moultrie County, Illinois",14827,9.604205122018026
17141,"Ogle County, Illinois",51273,10.844919576816615
17143,"Peoria County, Illinois",185006,12.128143535966974
17145,"Perry County, Illinois",21357,9.969134833771983
17147,"Piatt County, Illinois",16560,9.71474542793925
17149,"Pike County, Illinois",15950,9.67721410821299
17151,"Pope County, Illinois",4157,8.332548939252638
17153,"Pulaski County, Illinois",5619,8.633908991112198
17155,"Putnam County, Illinois",5611,8.632484235750972
17157,"Randolph County, Illinois",32621,10.392711531744357
17159,"Richland County, Illinois",15930,9.675959402904095
17161,"Rock Island County, Illinois",144784,11.882998255590914
17163,"St. Clair County, Illinois",262759,12.478992541244867
17165,"Saline County, Illinois",24307,10.098519653689262
17167,"Sangamon County, Illinois",197499,12.193488800019356
17169,"Schuyler County, Illinois",6923,8.842604480678025
17171,"Scott County, Illinois",5053,8.527737405291909
17173,"Shelby County, Illinois",21717,9.985850642961251
17175,"Stark County, Illinois",5776,8.661466680572662
17177,"Stephenson County, Illinois",45624,10.728189172836375
17179,"Tazewell County, Illinois",134385,11.808464093699788
17181,"Union County, Illinois",17212,9.75336209395849
17183,"Vermilion County, Illinois",78111,11.265886170980464
17185,"Wabash County, Illinois",11492,9.34940642009918
17187,"Warren County, Illinois",17378,9.762960317399152
17189,"Washington County, Illinois",14154,9.55775254863573
17191,"Wayne County, Illinois",16396,9.704792681624228
17193,"White County, Illinois",14292,9.5674552191433
17195,"Whiteside County, Illinois",56536,10.94263288237069
17197,"Will County, Illinois",689529,13.443764034794398
17199,"Williamson County, Illinois",67560,11.120771370921736
17201,"Winnebago County, Illinois",285873,12.563302935235896
17203,"Woodford County, Illinois",39140,10.574900240950067
18001,"Adams County, Indiana",35232,10.469710039522406
18003,"Allen County, Indiana",370404,12.82234958083192
18005,"Bartholomew County, Indiana",81402,11.307155121713363
18007,"Benton County, Indiana",8650,9.065314599925925
18009,"Blackford County, Indiana",12149,9.405002140854743
18011,"Boone County, Indiana",64653,11.07678978683568
18013,"Brown County, Indiana",14912,9.609921536925372
18015,"Carroll County, Indiana",19970,9.901986426409861
18017,"Cass County, Indiana",37946,10.543919375424078
18019,"Clark County, Indiana",116031,11.661612675765195
18021,"Clay County, Indiana",26309,10.177666364950163
18023,"Clinton County, Indiana",32457,10.387671415355683
18025,"Crawford County, Indiana",10539,9.262837940933936
18027,"Daviess County, Indiana",32969,10.403323005002216
18029,"Dearborn County, Indiana",49331,10.806307965662294
18031,"Decatur County, Indiana",26598,10.188591303973109
18033,"DeKalb County, Indiana",42746,10.663030902735755
18035,"Delaware County, Indiana",115603,11.657917186440772
18037,"Dubois County, Indiana",42552,10.658482136422153
18039,"Elkhart County, Indiana",203781,12.224801166769156
18041,"Fayette County, Indiana",23331,10.057538227363054
18043,"Floyd County, Indiana",76990,11.251430822272095
18045,"Fountain County, Indiana",16486,9.710266814873172
18047,"Franklin County, Indiana",22715,10.030780778193504
18049,"Fulton County, Indiana",20139,9.910413512606862
18051,"Gibson County, Indiana",33703,10.425342133149853
18053,"Grant County, Indiana",66937,11.111507157507678
18055,"Greene County, Indiana",32211,10.380063288102246
18057,"Hamilton County, Indiana",316373,12.664677176215433
18059,"Hancock County, Indiana",73717,11.20798871643591
18061,"Harrison County, Indiana",39826,10.592275244318621
18063,"Hendricks County, Indiana",160610,11.986734345056943
18065,"Henry County, Indiana",48521,10.78975197290331
18067,"Howard County, Indiana",82568,11.32137747524577
18069,"Huntington County, Indiana",36400,10.502324053624832
18071,"Jackson County, Indiana",44013,10.692240323807754
18073,"Jasper County, Indiana",33433,10.417298715142485
18075,"Jay County, Indiana",21046,9.954465797300758
18077,"Jefferson County, Indiana",32418,10.386469103072121
18079,"Jennings County, Indiana",27758,10.231279365915785
18081,"Johnson County, Indiana",151982,11.931517371763455
18083,"Knox County, Indiana",37744,10.538581801647457
18085,"Kosciusko County, Indiana",79092,11.27836701084072
18087,"LaGrange County, Indiana",39110,10.57413346774956
18089,"Lake County, Indiana",485846,13.09364698023997
18091,"LaPorte County, Indiana",110015,11.608371999114242
18093,"Lawrence County, Indiana",45518,10.725863131103859
18095,"Madison County, Indiana",129296,11.76985962847323
18097,"Marion County, Indiana",941229,13.75494174709038
18099,"Marshall County, Indiana",46556,10.748411168061867
18101,"Martin County, Indiana",10171,9.227295812625597
18103,"Miami County, Indiana",35883,10.488018924717574
18105,"Monroe County, Indiana",145496,11.887903873806854
18107,"Montgomery County, Indiana",38074,10.547286913465735
18109,"Morgan County, Indiana",69698,11.151926901932331
18111,"Newton County, Indiana",13924,9.54136924893133
18113,"Noble County, Indiana",47638,10.77138604105986
18115,"Ohio County, Indiana",5932,8.688116703257823
18117,"Orange County, Indiana",19335,9.869672204041397
18119,"Owen County, Indiana",20840,9.944629495867304
18121,"Parke County, Indiana",16800,9.72913416539135
18123,"Perry County, Indiana",18966,9.850403181443673
18125,"Pike County, Indiana",12431,9.427948631791715
18127,"Porter County, Indiana",167791,12.030474436296725
